[23-04-2021 03:34PM]	127.0.0.1 	Mozilla/5.0 (X11; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0	http 200	"localhost	GET	/media/images_img-avatar3.png"	Description: The web data center is not set!!
[23-04-2021 05:19PM]	127.0.0.1 	Mozilla/5.0 (X11; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0	http 200	"localhost	GET	/media/images_img-avatar3.png"	Description: The web data center is not set!!
[23-04-2021 05:22PM]	127.0.0.1 	Mozilla/5.0 (X11; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0	http 200	"localhost	GET	/media/images_img-avatar3.png"	Description: The web data center is not set!!
[23-04-2021 05:23PM]	127.0.0.1 	Mozilla/5.0 (X11; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0	http 200	"localhost	GET	/account/activate"	Description: /srv/http/Mishusoft/Ema/Mishusoft/Main/Views/Account/activate.php not found.
[23-04-2021 05:23PM]	127.0.0.1 	Mozilla/5.0 (X11; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0	http 200	"localhost	GET	/assets/images/img-avatar3.png"	Description: The web data center is not set!!
[23-04-2021 05:23PM]	127.0.0.1 	Mozilla/5.0 (X11; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0	http 200	"localhost	GET	/assets/images/img-avatar3.png"	Description: The web data center is not set!!
[23-04-2021 05:23PM]	127.0.0.1 	Mozilla/5.0 (X11; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0	http 200	"localhost	GET	/media/images/term-of-use.png"	Description: The web data center is not set!!
[23-04-2021 05:23PM]	127.0.0.1 	Mozilla/5.0 (X11; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0	http 200	"localhost	GET	/media/images/dmca-policy.png"	Description: The web data center is not set!!
[23-04-2021 05:23PM]	127.0.0.1 	Mozilla/5.0 (X11; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0	http 200	"localhost	GET	/media/images/refund-policy.png"	Description: The web data center is not set!!
[23-04-2021 06:33PM]	127.0.0.1 	Mozilla/5.0 (X11; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0	http 200	"localhost	GET	/assets/images/img-avatar3.png"	Description: The web data center is not set!!
[24-04-2021 09:12PM]	127.0.0.1 	Mozilla/5.0 (X11; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0	http 200	"localhost	GET	/media/images/dmca-policy.png"	Description: The web data center is not set!!
[24-04-2021 09:12PM]	127.0.0.1 	Mozilla/5.0 (X11; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0	http 200	"localhost	GET	/media/images/refund-policy.png"	Description: The web data center is not set!!
[24-04-2021 09:12PM]	127.0.0.1 	Mozilla/5.0 (X11; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0	http 200	"localhost	GET	/media/images/term-of-use.png"	Description: The web data center is not set!!
[26-04-2021 10:34PM]	127.0.0.1 	Mozilla/5.0 (X11; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0	http 200	"localhost	GET	/media/images/dmca-policy.png"	Description: The web data center is not set!!
[26-04-2021 10:34PM]	127.0.0.1 	Mozilla/5.0 (X11; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0	http 200	"localhost	GET	/media/images/refund-policy.png"	Description: The web data center is not set!!
[26-04-2021 10:34PM]	127.0.0.1 	Mozilla/5.0 (X11; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0	http 200	"localhost	GET	/media/images/term-of-use.png"	Description: The web data center is not set!!
[27-04-2021 11:11PM]	127.0.0.1 	Mozilla/5.0 (X11; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0	http 200	"localhost	GET	/media/images/dmca-policy.png"	Description: The web data center is not set!!
